Nr.;Datum;Modus;Position(en) Anzahl;Position(en);Position(en) USt %;Zahlungsart;Netto €;Steuer €;Brutto €;Trinkgeld €;Storniert;Storno Nr.;Stornodatum;Storno Brutto €;Storno Trinkgeld €;Kunde;Kunde - Adresse;KassiererIn;Umsatzzuweisung
19193;24.10.2025 16:25;Normal;1| 1;Linsen Chips Original 90g, Ariona Fruchtriegel;7, 7;Bar;3,84;0,26;4,1;0;Nein;;;;;;;Shop Team;
19194;25.10.2025 11:48;Normal;1;Koffeinfrei;19;Bar;0;0;0;0;Nein;;;;;;;Café Team;
19195;25.10.2025 12:08;Normal;3| 3| 1;Omas Rahmkäse-Torte, Heiße Schokolade, Americano;19, 19, 19;Bar;19,74;3,76;23,5;0;Nein;;;;;;;Café Team;
19196;25.10.2025 12:21;Normal;1;Laugenbrezel mit Butter;19;EC-Karte;1,85;0,35;2,2;0;Nein;;;;;;;Café Team;
19197;25.10.2025 12:29;Normal;1;Laugenbrezel mit Butter;19;EC-Karte;1,85;0,35;2,2;0;Nein;;;;;;;Café Team;
19198;25.10.2025 13:18;Normal;2;Americano;19;Bar;4,2;0,8;5;0;Nein;;;;;;;Café Team;
19199;25.10.2025 13:20;Normal;1| 1;Armband elastisch Amazonit o Erdbeerquarz Herzen - 10mm 12546, Baumwolltüch Quad. Alle Fabre 0012;19, 19;Bar;11,51;2,19;13,7;0;Nein;;;;;;;Shop Team;
19200;25.10.2025 13:41;Normal;2| 1| 1| 1| 1| 1;Mango- Joghurt-Crunch Torte, Milchkaffee, Latte Macchiato, Cappuccino, Omas Rahmkäse-Torte, Erdbeer Buttemilch Torte;19, 19, 19, 19, 19, 19;Bar;23,36;4,44;27,8;0;Nein;;;;;;;Café Team;
19201;25.10.2025 13:48;Normal;1;Zitrone Garten-Limonade;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19202;25.10.2025 14:02;Normal;2| 1;Americano, Mango- Joghurt-Crunch Torte;19, 19;Bar;8,32;1,58;9,9;0;Nein;;;;;;;Café Team;
19203;25.10.2025 14:08;Normal;1| 1;Cappuccino, Café Crema;19, 19;Bar;4,62;0,88;5,5;0;Nein;;;;;;;Café Team;
19204;25.10.2025 14:10;Normal;1| 1| 1| 1| 1;Omas Rahmkäse-Torte, Mango- Joghurt-Crunch Torte, ApfelChai heiss, Latte Macchiato, Koffeinfrei;19, 19, 19, 19, 19;Bar;12,52;2,38;14,9;0;Nein;;;;;;;Café Team;
19205;25.10.2025 14:20;Normal;1;Zitronen-Schnitte vegan;19;Bar;2,1;0,4;2,5;0;Nein;;;;;;;Café Team;
19206;25.10.2025 14:24;Normal;1| 1;Cappuccino, Laugenbrezel mit Butter;19, 19;Bar;4,37;0,83;5,2;0;Nein;;;;;;;Café Team;
19207;25.10.2025 14:39;Normal;2| 1| 1;Milchkaffee, Donauwelle, Erdbeer Buttemilch Torte;19, 19, 19;Bar;12,69;2,41;15,1;0;Nein;;;;;;;Café Team;
